id,well_definedness_level,importance,novelty,proof_difficulty,disproof_difficulty,proven,disproven,first_submission_time,completed_by_ai
00000000001,,,,,,false,false,,false
00000000002,,,,,,false,false,,false
00000000003,,,,,,false,false,,false
00000000004,,,,,,false,false,,false
00000000005,,,,,,false,false,,false
00000000006,,,,,,false,false,,false
00000000007,,,,,,false,false,,false
00000000008,,,,,,false,false,,false
00000000009,,,,,,false,false,,false
00000000010,,,,,,false,false,,false
00000000011,,,,,,false,false,,false
00000000012,,,,,,false,false,,false
00000000013,,,,,,false,false,,false
00000000014,,,,,,false,false,,false
00000000015,,,,,,false,false,,false
00000000016,,,,,,false,false,,false
00000000017,,,,,,false,false,,false
00000000018,,,,,,false,false,,false
00000000019,,,,,,false,false,,false
00000000020,,,,,,false,false,,false
00000000021,,,,,,false,false,,false
00000000022,,,,,,false,false,,false
00000000023,,,,,,false,false,,false
00000000024,,,,,,false,false,,false
00000000025,,,,,,false,false,,false
00000000026,,,,,,false,false,,false
00000000027,,,,,,false,false,,false
00000000028,,,,,,false,false,,false
00000000029,,,,,,false,false,,false
00000000030,,,,,,false,false,,false
00000000031,,,,,,false,false,,false
00000000032,,,,,,false,false,,false
00000000033,,,,,,false,false,,false
00000000034,,,,,,false,false,,false
00000000035,,,,,,false,false,,false
00000000036,,,,,,false,false,,false
00000000037,,,,,,false,false,,false
00000000038,,,,,,false,false,,false
00000000039,,,,,,false,false,,false
00000000040,,,,,,false,false,,false
00000000041,,,,,,false,false,,false
00000000042,,,,,,false,false,,false
00000000043,,,,,,false,false,,false
00000000044,,,,,,false,false,,false
00000000045,,,,,,false,false,,false
00000000046,,,,,,false,false,,false
00000000047,,,,,,false,false,,false
00000000048,,,,,,false,false,,false
00000000049,,,,,,false,false,,false
00000000050,,,,,,false,false,,false
00000000051,,,,,,false,false,,false
00000000052,,,,,,false,false,,false
00000000053,,,,,,false,false,,false
00000000054,,,,,,false,false,,false
00000000055,,,,,,false,false,,false
00000000056,,,,,,false,false,,false
00000000057,,,,,,false,false,,false
00000000058,,,,,,false,false,,false
00000000059,,,,,,false,false,,false
00000000060,,,,,,false,false,,false
00000000061,,,,,,false,false,,false
00000000062,,,,,,false,false,,false
00000000063,,,,,,false,false,,false
00000000064,,,,,,false,false,,false
00000000065,,,,,,false,false,,false
00000000066,,,,,,false,false,,false
00000000067,,,,,,false,false,,false
00000000068,,,,,,false,false,,false
00000000069,,,,,,false,false,,false
00000000070,,,,,,false,false,,false
00000000071,,,,,,false,false,,false
00000000072,,,,,,false,false,,false
00000000073,,,,,,false,false,,false
00000000074,,,,,,false,false,,false
00000000075,,,,,,false,false,,false
00000000076,,,,,,false,false,,false
00000000077,,,,,,false,false,,false
00000000078,,,,,,false,false,,false
00000000079,,,,,,false,false,,false
00000000080,,,,,,false,false,,false
00000000081,,,,,,false,false,,false
00000000082,,,,,,false,false,,false
00000000083,,,,,,false,false,,false
00000000084,,,,,,false,false,,false
00000000085,,,,,,false,false,,false
00000000086,,,,,,false,false,,false
00000000087,,,,,,false,false,,false
00000000088,,,,,,false,false,,false
00000000089,,,,,,false,false,,false
00000000090,,,,,,false,false,,false
00000000091,,,,,,false,false,,false
00000000092,,,,,,false,false,,false
00000000093,,,,,,false,false,,false
00000000094,,,,,,false,false,,false
00000000095,,,,,,false,false,,false
00000000096,,,,,,false,false,,false
00000000097,,,,,,false,false,,false
00000000098,,,,,,false,false,,false
00000000099,,,,,,false,false,,false
00000000100,,,,,,false,false,,false
00000000101,,,,,,false,false,,false
00000000102,,,,,,false,false,,false
00000000103,,,,,,false,false,,false
00000000104,,,,,,false,false,,false
00000000105,,,,,,false,false,,false
00000000106,,,,,,false,false,,false
00000000107,,,,,,false,false,,false
00000000108,,,,,,false,false,,false
00000000109,,,,,,false,false,,false
00000000110,,,,,,false,false,,false
00000000111,,,,,,false,false,,false
