id,well_definedness_level,importance,novelty,proof_difficulty,disproof_difficulty,proven,disproven,first_submission_time,completed_by_ai
00000000001,5,3,3,3,3,false,false,,false
00000000002,5,4,3,4,4,false,false,,false
00000000003,2,3,3,2,2,false,false,,false
00000000004,3,2,3,2,2,false,false,,false
00000000005,3,2,3,2,2,false,false,,false
00000000006,4,3,3,3,4,false,false,,false
00000000007,3,2,3,2,4,false,false,,false
00000000008,3,2,3,2,3,false,false,,false
00000000009,1,1,3,2,3,false,false,,false
00000000010,4,4,3,4,3,false,false,,false
00000000011,2,5,2,5,4,false,false,,false
00000000012,4,3,3,3,4,false,false,,false
00000000013,3,2,3,2,2,false,false,,false
00000000014,3,2,3,2,2,false,false,,false
00000000015,1,1,3,2,4,false,false,,false
00000000016,2,2,3,2,4,false,false,,false
00000000017,4,3,3,3,4,false,false,,false
00000000018,2,3,3,3,3,false,false,,false
00000000019,3,2,3,2,2,false,false,,false
00000000020,3,2,3,2,3,false,false,,false
00000000021,2,2,3,2,3,false,false,,false
00000000022,4,2,3,2,3,false,false,,false
00000000023,3,2,3,2,2,false,false,,false
00000000024,2,2,3,2,4,false,false,,false
00000000025,5,4,3,4,4,false,false,,false
00000000026,3,2,3,2,2,false,false,,false
00000000027,1,1,3,2,5,false,false,,false
00000000028,1,1,3,2,4,false,false,,false
00000000029,5,2,3,2,3,false,false,,false
00000000030,4,3,3,3,3,false,false,,false
00000000031,1,1,3,2,5,false,false,,false
00000000032,4,3,3,3,5,false,false,,false
00000000033,3,2,3,2,2,false,false,,false
00000000034,3,2,3,2,2,false,false,,false
00000000035,3,2,3,2,3,false,false,,false
00000000036,4,3,3,2,2,false,false,,false
00000000037,3,2,3,2,4,false,false,,false
00000000038,3,3,3,3,3,false,false,,false
00000000039,2,2,3,2,2,false,false,,false
00000000040,3,2,3,3,4,false,false,,false
00000000041,1,5,2,5,4,false,false,,false
00000000042,1,4,2,2,2,false,false,,false
00000000043,3,2,3,3,4,false,false,,false
00000000044,4,3,3,2,4,false,false,,false
00000000045,2,3,3,3,5,false,false,,false
00000000046,1,1,3,2,4,false,false,,false
00000000047,2,2,3,2,3,false,false,,false
00000000048,3,3,3,2,3,false,false,,false
00000000049,3,2,3,2,3,false,false,,false
00000000050,3,2,3,2,2,false,false,,false
00000000051,3,2,3,2,3,false,false,,false
00000000052,3,2,3,2,3,false,false,,false
00000000053,3,2,3,1,2,false,false,,false
00000000054,1,1,3,2,3,false,false,,false
00000000055,4,3,3,2,3,false,false,,false
00000000056,2,2,3,2,4,false,false,,false
00000000057,3,2,3,2,2,false,false,,false
00000000058,3,2,3,2,2,false,false,,false
00000000059,4,3,3,2,3,false,false,,false
00000000060,3,4,3,3,5,false,false,,false
00000000061,3,2,3,2,3,false,false,,false
00000000062,1,1,3,2,2,false,false,,false
00000000063,1,1,3,2,3,false,false,,false
00000000064,1,2,3,3,2,false,false,,false
00000000065,3,3,3,2,2,false,false,,false
00000000066,3,3,3,3,4,false,false,,false
00000000067,3,3,3,3,2,false,false,,false
00000000068,1,1,3,2,4,false,false,,false
00000000069,2,2,3,2,4,false,false,,false
00000000070,3,3,3,2,3,false,false,,false
00000000071,2,2,3,2,2,false,false,,false
00000000072,3,2,3,2,4,false,false,,false
00000000073,1,1,3,2,3,false,false,,false
00000000074,3,2,3,2,3,false,false,,false
00000000075,2,2,3,2,4,false,false,,false
00000000076,3,2,3,2,4,false,false,,false
00000000077,5,4,3,4,4,false,false,,false
00000000078,1,1,3,2,3,false,false,,false
00000000079,3,3,3,2,2,false,false,,false
00000000080,1,2,3,3,2,false,false,,false
00000000081,1,1,3,1,2,false,false,,false
00000000082,5,4,3,3,5,false,false,,false
00000000083,3,3,3,2,2,false,false,,false
00000000084,3,3,3,2,3,false,false,,false
00000000085,3,2,3,2,3,false,false,,false
00000000086,3,2,3,2,3,false,false,,false
00000000087,3,2,3,2,3,false,false,,false
00000000088,3,3,3,2,2,false,false,,false
00000000089,3,2,3,1,2,false,false,,false
00000000090,3,3,3,2,2,false,false,,false
00000000091,3,2,3,2,2,false,false,,false
00000000092,3,3,2,2,3,false,false,,false
00000000093,3,3,3,2,3,false,false,,false
00000000094,3,2,3,2,4,false,false,,false
00000000095,3,2,3,2,4,false,false,,false
00000000096,4,3,3,2,2,false,false,,false
00000000097,5,3,3,3,5,false,false,,false
00000000098,4,4,3,3,2,false,false,,false
00000000099,3,3,1,3,3,false,false,,false
00000000100,3,3,1,1,1,false,false,,false
00000000101,3,2,3,2,2,false,false,,false
00000000102,1,1,3,2,4,false,false,,false
00000000103,3,2,3,2,4,false,false,,false
00000000104,2,4,3,4,3,false,false,,false
00000000105,3,3,3,2,4,false,false,,false
00000000106,3,3,3,2,2,false,false,,false
00000000107,3,2,3,2,4,false,false,,false
00000000108,2,2,1,2,2,false,false,,false
00000000109,3,3,3,3,4,false,false,,false
00000000110,3,2,3,2,2,false,false,,false
00000000111,4,3,3,1,1,false,false,,false
00000000112,4,4,3,3,2,false,false,,false
00000000113,2,3,1,2,2,false,false,,false
00000000114,4,3,3,3,4,false,false,,false
00000000115,3,2,3,2,2,false,false,,false
00000000116,3,2,3,2,3,false,false,,false
00000000117,3,2,3,2,2,false,false,,false
00000000118,3,2,3,2,3,false,false,,false
00000000119,3,2,3,2,3,false,false,,false
00000000120,3,2,3,2,3,false,false,,false
00000000121,3,2,3,2,3,false,false,,false
00000000122,3,4,3,3,2,false,false,,false
00000000123,3,3,3,2,2,false,false,,false
00000000124,2,2,3,2,4,false,false,,false
00000000125,1,2,3,2,5,false,false,,false
00000000126,3,3,3,2,2,false,false,,false
00000000127,3,3,3,2,2,false,false,,false
00000000128,3,2,3,2,3,false,false,,false
00000000129,3,3,3,2,2,false,false,,false
00000000130,3,2,3,2,2,false,false,,false
00000000131,1,1,3,2,3,false,false,,false
00000000132,3,2,3,2,2,false,false,,false
00000000133,3,3,3,2,4,false,false,,false
00000000134,2,3,3,3,3,false,false,,false
00000000135,3,5,2,5,4,false,false,,false
00000000136,3,2,3,2,4,false,false,,false
00000000137,4,3,3,3,5,false,false,,false
00000000138,3,2,3,2,4,false,false,,false
00000000139,5,3,3,2,2,false,false,,false
00000000140,1,2,3,2,5,false,false,,false
00000000141,2,3,3,3,5,false,false,,false
00000000142,2,2,3,2,3,false,false,,false
00000000143,2,2,3,2,4,false,false,,false
00000000144,1,1,3,2,3,false,false,,false
00000000145,2,2,3,2,3,false,false,,false
00000000146,2,2,3,1,2,false,false,,false
00000000147,3,2,3,2,3,false,false,,false
00000000148,3,2,3,2,4,false,false,,false
00000000149,4,3,2,2,4,false,false,,false
00000000150,1,1,3,2,3,false,false,,false
00000000151,1,1,3,2,3,false,false,,false
00000000152,4,4,3,3,3,false,false,,false
00000000153,3,3,3,2,2,false,false,,false
00000000154,3,2,3,2,3,false,false,,false
00000000155,2,2,3,2,4,false,false,,false
00000000156,1,1,3,2,4,false,false,,false
00000000157,4,3,3,2,3,false,false,,false
00000000158,3,3,3,3,3,false,false,,false
00000000159,3,3,3,2,2,false,false,,false
00000000160,3,3,3,2,2,false,false,,false
00000000161,2,2,3,2,2,false,false,,false
00000000162,4,3,3,2,2,false,false,,false
00000000163,2,2,3,2,2,false,false,,false
00000000164,2,4,3,3,4,false,false,,false
00000000165,2,2,3,2,3,false,false,,false
00000000166,1,2,3,2,2,false,false,,false
00000000167,2,2,1,2,3,false,false,,false
00000000168,3,2,3,2,3,false,false,,false
00000000169,3,2,3,2,3,false,false,,false
00000000170,5,3,3,3,5,false,false,,false
00000000171,3,5,2,5,4,false,false,,false
00000000172,3,2,3,2,4,false,false,,false
00000000173,3,2,3,2,3,false,false,,false
00000000174,3,2,3,2,3,false,false,,false
00000000175,3,3,3,3,3,false,false,,false
00000000176,3,2,3,2,2,false,false,,false
00000000177,3,4,3,4,3,false,false,,false
00000000178,3,1,3,2,2,false,false,,false
00000000179,3,2,3,2,4,false,false,,false
00000000180,3,2,3,2,4,false,false,,false
00000000181,5,4,2,3,5,false,false,,false
00000000182,3,2,3,2,3,false,false,,false
00000000183,2,2,1,2,3,false,false,,false
00000000184,3,2,3,2,4,false,false,,false
00000000185,3,2,3,2,3,false,false,,false
00000000186,3,3,3,3,3,false,false,,false
00000000187,3,3,3,3,2,false,false,,false
00000000188,5,4,3,3,2,false,false,,false
00000000189,3,2,3,2,2,false,false,,false
00000000190,3,2,3,2,2,false,false,,false
00000000191,3,2,3,2,4,false,false,,false
00000000192,3,2,3,2,2,false,false,,false
00000000193,3,2,3,2,3,false,false,,false
00000000194,3,3,3,2,2,false,false,,false
00000000195,4,3,3,2,2,false,false,,false
00000000196,3,2,3,2,3,false,false,,false
00000000197,3,2,3,2,2,false,false,,false
00000000198,3,2,3,2,3,false,false,,false
00000000199,2,2,3,2,2,false,false,,false
00000000200,3,3,3,3,3,false,false,,false
00000000201,3,2,1,1,1,false,false,,false
00000000202,1,2,3,2,2,false,false,,false
00000000203,4,3,3,3,3,false,false,,false
00000000204,3,2,3,2,4,false,false,,false
00000000205,5,3,3,3,4,false,false,,false
00000000206,5,3,3,2,4,false,false,,false
00000000207,3,2,3,2,5,false,false,,false
00000000208,5,2,3,2,4,false,false,,false
00000000209,2,2,1,2,3,false,false,,false
00000000210,3,2,3,2,5,false,false,,false
00000000211,3,3,3,3,5,false,false,,false
00000000212,4,2,3,2,4,false,false,,false
00000000213,3,3,3,3,3,false,false,,false
00000000214,3,4,2,3,4,false,false,,false
00000000215,3,3,3,3,4,false,false,,false
00000000216,3,2,3,2,3,false,false,,false
00000000217,3,2,3,2,4,false,false,,false
00000000218,3,2,3,2,3,false,false,,false
00000000219,3,3,3,3,4,false,false,,false
00000000220,5,3,3,2,3,false,false,,false
00000000221,4,3,3,3,5,false,false,,false
00000000222,4,3,3,3,4,false,false,,false
00000000223,3,3,3,3,4,false,false,,false
00000000224,5,3,3,2,4,false,false,,false
00000000225,3,4,3,3,3,false,false,,false
00000000226,2,2,3,2,4,false,false,,false
00000000227,4,4,3,4,5,false,false,,false
00000000228,2,2,3,2,4,false,false,,false
00000000229,3,3,3,3,4,false,false,,false
00000000230,3,2,3,2,3,false,false,,false
00000000231,5,2,3,2,3,false,false,,false
00000000232,5,3,3,3,5,false,false,,false
00000000233,3,2,3,2,2,false,false,,false
00000000234,5,3,3,2,3,false,false,,false
00000000235,3,2,3,2,3,false,false,,false
00000000236,5,2,3,2,3,false,false,,false
00000000237,3,2,3,2,4,false,false,,false
00000000238,3,2,3,2,4,false,false,,false
00000000239,3,2,3,2,5,false,false,,false
00000000240,4,3,1,2,2,false,false,,false
00000000241,4,3,1,1,1,false,false,,false
00000000242,3,3,3,3,3,false,false,,false
00000000243,5,3,3,2,3,false,false,,false
00000000244,5,3,3,2,3,false,false,,false
00000000245,4,3,3,2,3,false,false,,false
00000000246,3,2,3,2,2,false,false,,false
00000000247,4,3,1,3,4,false,false,,false
00000000248,5,3,3,2,2,false,false,,false
00000000249,4,3,3,2,3,false,false,,false
00000000250,4,3,3,2,2,false,false,,false
00000000251,5,2,3,2,3,false,false,,false
00000000252,5,3,3,2,4,false,false,,false
00000000253,2,2,1,2,4,false,false,,false
00000000254,5,4,3,4,2,false,false,,false
00000000255,3,2,3,2,3,false,false,,false
00000000256,4,5,1,5,3,false,false,,false
00000000257,3,3,3,2,2,false,false,,false
00000000258,2,3,3,3,3,false,false,,false
00000000259,3,2,3,2,3,false,false,,false
00000000260,3,3,3,2,2,false,false,,false
00000000261,3,3,3,3,3,false,false,,false
00000000262,4,3,3,1,2,false,false,,false
00000000263,4,3,3,3,4,false,false,,false
00000000264,5,3,3,1,1,false,false,,false
00000000265,5,2,3,2,2,false,false,,false
00000000266,3,3,3,2,4,false,false,,false
00000000267,1,1,3,2,3,false,false,,false
00000000268,5,3,3,2,4,false,false,,false
00000000269,3,3,3,2,3,false,false,,false
00000000270,5,3,3,3,4,false,false,,false
00000000271,4,2,1,1,1,false,false,,false
00000000272,3,2,3,2,3,false,false,,false
00000000273,5,4,2,3,4,false,false,,false
00000000274,3,2,3,2,3,false,false,,false
00000000275,3,3,2,2,4,false,false,,false
00000000276,2,2,1,2,3,false,false,,false
00000000277,4,4,1,3,2,false,false,,false
00000000278,5,3,3,3,4,false,false,,false
00000000279,4,3,3,3,4,false,false,,false
00000000280,3,3,3,3,4,false,false,,false
00000000281,3,2,3,2,4,false,false,,false
00000000282,3,2,3,2,2,false,false,,false
00000000283,3,2,3,2,3,false,false,,false
00000000284,3,2,3,2,3,false,false,,false
00000000285,3,2,3,2,2,false,false,,false
00000000286,3,2,3,2,3,false,false,,false
00000000287,3,2,3,2,4,false,false,,false
00000000288,5,3,3,2,3,false,false,,false
00000000289,5,2,3,2,4,false,false,,false
00000000290,3,3,3,3,4,false,false,,false
00000000291,3,4,2,3,3,false,false,,false
00000000292,3,2,3,2,4,false,false,,false
00000000293,3,2,3,2,4,false,false,,false
00000000294,3,2,3,2,4,false,false,,false
00000000295,3,5,2,5,4,false,false,,false
00000000296,3,3,1,2,2,false,false,,false
00000000297,5,2,3,2,2,false,false,,false
00000000298,3,2,3,2,4,false,false,,false
00000000299,3,2,3,2,4,false,false,,false
00000000300,3,4,2,3,4,false,false,,false
00000000301,5,2,3,1,2,false,false,,false
00000000302,3,2,3,2,2,false,false,,false
00000000303,3,2,3,2,2,false,false,,false
00000000304,5,3,2,2,2,false,false,,false
00000000305,4,2,3,1,1,false,false,,false
00000000306,5,2,3,2,2,false,false,,false
00000000307,4,3,3,2,2,false,false,,false
00000000308,5,3,3,3,5,false,false,,false
00000000309,5,3,3,2,2,false,false,,false
00000000310,5,2,3,1,1,false,false,,false
00000000311,3,2,3,2,2,false,false,,false
00000000312,3,3,3,3,2,false,false,,false
00000000313,4,3,3,2,3,false,false,,false
00000000314,3,2,3,2,4,false,false,,false
00000000315,2,2,3,2,4,false,false,,false
00000000316,3,2,3,2,2,false,false,,false
00000000317,3,3,3,3,2,false,false,,false
00000000318,3,2,3,2,3,false,false,,false
00000000319,5,2,3,2,4,false,false,,false
00000000320,3,3,3,3,2,false,false,,false
00000000321,5,2,3,2,3,false,false,,false
00000000322,4,2,3,2,2,false,false,,false
00000000323,5,3,3,2,3,false,false,,false
00000000324,5,3,3,3,5,false,false,,false
00000000325,2,1,3,2,2,false,false,,false
00000000326,5,3,3,3,4,false,false,,false
00000000327,5,3,3,1,2,false,false,,false
00000000328,2,2,3,2,4,false,false,,false
00000000329,4,3,3,3,3,false,false,,false
