id,confidence,band,topic,wd,imp,nov,pr,dp,chars,flags
00000002378,0.15,low,general / other,0,1,1,2,3,351,meta|bare_latex|vague_x3|no_quant
00000000108,0.35,low,number theory,2,2,1,2,2,232,meta|no_def|short
00000001474,0.35,low,general / other,1,1,1,2,4,386,meta|vague_x3|no_quant
00000001709,0.35,low,general / other,1,1,1,2,4,493,meta|vague_x3|no_quant
00000002186,0.35,low,combinatorics / discrete,2,2,1,2,3,415,meta|no_def|vague_x3
00000000859,0.4,low,general / other,1,1,1,2,3,346,meta|no_def|no_quant
00000001002,0.4,low,general / other,1,1,1,2,4,315,meta|no_def|no_quant
00000001389,0.4,low,general / other,1,2,1,2,4,333,meta|no_def|no_quant
00000001907,0.4,low,general / other,3,3,1,3,4,304,meta|no_def
00000002214,0.4,low,general / other,2,2,1,2,2,362,meta|no_def
00000000954,0.45,low,analysis / PDE / dynamics,1,2,1,2,3,609,meta|vague_x3|no_quant
00000002279,0.45,low,algebra / representation theory,1,2,1,2,4,415,meta|vague_x3|no_quant
00000004806,0.45,low,number theory,1,2,1,2,3,654,meta|vague_x3|no_quant
00000004911,0.45,low,analysis / PDE / dynamics,1,3,1,3,5,483,meta|vague_x3|no_quant
00000005037,0.45,low,combinatorics / discrete,1,2,1,2,5,427,meta|vague_x3|no_quant
00000005069,0.45,low,analysis / PDE / dynamics,1,2,1,2,5,441,meta|vague_x3|no_quant
00000007797,0.45,low,probability,3,3,1,3,5,701,meta|vague_x3
00000008024,0.45,low,algebraic geometry,1,2,1,2,3,1028,meta|vague_x3|no_quant
00000008182,0.45,low,number theory,1,3,1,3,4,733,meta|vague_x3|no_quant
00000008185,0.45,low,algebra / representation theory,1,2,1,2,3,1067,meta|vague_x3|no_quant
00000008193,0.45,low,combinatorics / discrete,3,3,1,3,5,980,meta|vague_x3
00000008237,0.45,low,number theory,3,3,1,2,4,919,meta|vague_x3
00000009568,0.45,low,number theory,3,4,1,4,5,677,meta|vague_x3
00000009590,0.45,low,topology / geometry,3,2,1,2,2,676,meta|vague_x3
00000009597,0.45,low,algebra / representation theory,1,3,1,3,5,636,meta|vague_x3|no_quant
00000009862,0.45,low,algebra / representation theory,2,3,1,2,4,529,meta|vague_x3
00000009880,0.45,low,probability,1,2,1,2,4,555,meta|vague_x3|no_quant
00000000028,0.5,medium,general / other,1,1,3,2,4,141,no_def|short|no_quant
00000000031,0.5,medium,general / other,1,1,3,2,5,186,no_def|short|no_quant
00000000040,0.5,medium,general / other,3,2,3,3,4,184,no_def|short
00000000043,0.5,medium,general / other,3,2,3,3,4,236,no_def|short
00000000073,0.5,medium,general / other,1,1,3,2,3,223,no_def|short|no_quant
00000000099,0.5,medium,number theory,3,3,1,3,3,348,meta|no_def
00000000100,0.5,medium,algebraic geometry,3,3,1,1,1,328,meta|no_def
00000000113,0.5,medium,number theory,2,3,1,2,2,265,meta|no_def
00000000178,0.5,medium,general / other,3,1,3,2,2,207,no_def|short
00000000183,0.5,medium,general / other,2,2,1,2,3,403,meta|no_quant
00000000190,0.5,medium,general / other,3,2,3,2,2,207,no_def|short
00000000253,0.5,medium,general / other,2,2,1,2,4,383,meta|no_quant
00000000271,0.5,medium,general / other,4,2,1,1,1,349,meta
00000000387,0.5,medium,general / other,4,2,1,2,3,306,meta
00000000393,0.5,medium,general / other,4,2,1,2,3,387,meta
00000000403,0.5,medium,general / other,1,1,3,2,4,230,no_def|short|no_quant
00000000615,0.5,medium,topology / geometry,1,4,1,4,3,290,meta|no_def|no_quant
00000000747,0.5,medium,general / other,3,2,3,2,2,211,no_def|short
00000000807,0.5,medium,general / other,2,2,1,2,2,344,meta|no_quant
00000000912,0.5,medium,general / other,3,2,3,2,4,233,no_def|short
00000000939,0.5,medium,general / other,3,1,3,2,4,246,no_def|short
00000000975,0.5,medium,number theory,3,3,1,2,2,330,meta|no_def
00000001064,0.5,medium,general / other,1,1,3,2,3,214,no_def|short|no_quant
00000001086,0.5,medium,general / other,1,1,3,2,3,205,no_def|short|no_quant
00000001185,0.5,medium,general / other,1,1,3,2,3,200,no_def|short|no_quant
00000001188,0.5,medium,general / other,1,1,3,2,3,235,no_def|short|no_quant
00000001207,0.5,medium,general / other,3,1,3,2,4,236,no_def|short
00000001214,0.5,medium,general / other,3,2,3,2,3,215,no_def|short
00000001235,0.5,medium,general / other,1,1,3,2,4,224,no_def|short|no_quant
00000001241,0.5,medium,general / other,1,1,3,2,4,247,no_def|short|no_quant
00000001252,0.5,medium,general / other,1,1,3,2,4,220,no_def|short|no_quant
00000001254,0.5,medium,general / other,1,1,3,2,3,209,no_def|short|no_quant
00000001261,0.5,medium,general / other,1,1,3,2,4,223,no_def|short|no_quant
00000001282,0.5,medium,general / other,1,1,3,2,3,200,no_def|short|no_quant
00000001290,0.5,medium,general / other,1,1,3,2,4,234,no_def|short|no_quant
00000001291,0.5,medium,general / other,1,1,3,2,3,215,no_def|short|no_quant
00000001294,0.5,medium,general / other,1,1,3,2,4,227,no_def|short|no_quant
00000001336,0.5,medium,general / other,2,2,1,2,2,477,meta|no_quant
00000001430,0.5,medium,general / other,2,2,1,2,4,473,meta|no_quant
00000001447,0.5,medium,general / other,2,2,1,2,3,547,meta|no_quant
